DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 228
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |                trait                 | rating |  next_event_date  | revenue 
      207 | Fabe Naden           | Online      |          349.34 | Promotional | Paul      | Instantaneous Costume Changes        |      0 | 08 March 2022     | 4842.59
      208 | Jarrod Lorriman      | Athens      |          826.13 | Parts       | Christian | Super Speed Typing                   |      1 | 26 October 2024   | 8119.76
      209 | Reena Dunkersley     | Los Angeles |          368.22 | Fashion     | Alex      | lucky charm                          |      3 | 05 March 2022     | 8589.33
      210 | Julianna Togwell     | Crewe       |          704.17 | Fashion     | Christian | Super Slow Motion                    |      2 | 01 February 2024  | 8887.56
      211 | Joanna Cogdon        | Crewe       |          568.89 | Glamour     | Paul      | Uncontrollable Tickling              |      9 | 10 November 2025  | 1006.37
      212 | Jemmie Cannop        | Stockholm   |           13.34 | Promotional | Verity    | knowing when it's going to rain      |      2 | 24 November 2025  | 8575.22
      213 | Deane Blinkhorn      | Crewe       |          647.59 | Fashion     | Katherine | Telepathic Yawn                      |      6 | 05 September 2025 | 3657.26
      214 | Lowrance Brattell    | Athens      |          588.22 | Glamour     | Verity    | Instantaneous Costume Changes        |     10 | 24 February 2025  | 1849.79
(214 rows)

 models_brands_id | model_id |    brand_name     
------------------+----------+-------------------
                1 |        1 | Louboutin
                2 |        1 | H&M
                3 |        2 | Aldi
                4 |        2 | Poundland
                5 |        3 | Patagonia
                6 |        3 | Buff
                7 |        3 | Salomon
                8 |        4 | Adidas
                9 |        5 | Ebay
               10 |        5 | Vinted
               11 |        5 | Instagram
               12 |        6 | Charities
               13 |        7 | Oricle
               14 |        7 | Marks and Spencer
               15 |        8 | Harrods
               16 |        8 | HSBC
               17 |        9 | Ikea
               18 |        9 | Wayfair
               19 |        9 | Amazon
               20 |       10 | Nike
               21 |       10 | Adidas
               22 |       10 | Reebok
               23 |       11 | Chanel
               24 |       11 | Dior
               25 |       11 | Stella McCartney
               26 |       12 | United Utilities
               27 |       13 | Listo Burritos
               28 |       14 | Marvel Studios
               29 |       15 | Versace
               30 |       16 | Ikea
               31 |       17 | Patagonia
               32 |       18 | Salomon
               33 |       19 | Amazon
               34 |       20 | Versace
               35 |       21 | Valentino
               36 |       22 | HSBC
               37 |       23 | Marks and Spencer
               38 |       24 | Gucci
               39 |       25 | Oricle
               40 |       26 | Marks and Spencer
               41 |       27 | Givenchy
               42 |       28 | Instagram
               43 |       29 | Marks and Spencer
               44 |       30 | Harrods
               45 |       31 | HSBC
               46 |       32 | Chanel
               47 |       33 | Charities
               48 |       34 | Poundland
               49 |       35 | Chanel
               50 |       36 | Fendi
               51 |       37 | Chanel
               52 |       38 | Instagram
               53 |       39 | Instagram
               54 |       40 | Gucci
               55 |       41 | Stella McCartney
               56 |       42 | Prada
               57 |       43 | Vinted
               58 |       44 | Prada
               59 |       45 | Salomon
               60 |       46 | Reebok
               61 |       47 | Poundland
               62 |       48 | HSBC
               63 |       49 | Salomon
               64 |       50 | Adidas
               65 |       51 | HSBC
               66 |       52 | Louboutin
               67 |       53 | Fendi
               68 |       54 | Charities
               69 |       55 | Ebay
               70 |       56 | Dior
               71 |       57 | Salomon
               72 |       58 | Charities
               73 |       59 | Louboutin
               74 |       60 | Versace
               75 |       61 | Chanel
               76 |       62 | Salomon
               77 |       63 | Stella McCartney
               78 |       64 | Ikea
               79 |       65 | Louboutin
               80 |       66 | Patagonia
               81 |       67 | Prada
               82 |       68 | Balenciaga
               83 |       69 | Fendi
               84 |       70 | Poundland
               85 |       71 | Adidas
               86 |       72 | Patagonia
               87 |       73 | Oricle
               88 |       74 | Aldi
               89 |       75 | Aldi
               90 |       76 | HSBC
               91 |       77 | Gucci
               92 |       78 | Ebay
               93 |       79 | Charities
               94 |       80 | Adidas
               95 |       81 | Amazon
               96 |       82 | Dior
               97 |       83 | Versace
               98 |       84 | Ebay
               99 |       85 | Buff
              100 |       86 | Salomon
              101 |       87 | Ikea
              102 |       88 | Gucci
              103 |       89 | Chanel
              104 |       90 | Chanel
              105 |       91 | Prada
              106 |       92 | Salomon
              107 |       93 | Stella McCartney
              108 |       94 | Oricle
              109 |       95 | Nike
              110 |       96 | Vinted
              111 |       97 | Louboutin
              112 |       98 | Prada
              113 |       99 | Buff
              114 |      100 | Instagram
              115 |      101 | Salomon
              116 |      102 | Louis Vuitton
              117 |      103 | Ebay
              118 |      104 | Dior
              119 |      105 | HSBC
              120 |      106 | Wayfair
              121 |      107 | Adidas
              122 |      108 | Adidas
              123 |      109 | Amazon
              124 |      110 | Charities
              125 |      111 | Harrods
              126 |      112 | Oricle
              127 |      113 | Aldi
              128 |      114 | Harrods
              129 |      115 | Oricle
              130 |      116 | Ikea
              131 |      117 | Buff
              132 |      118 | H&M
              133 |      119 | Buff
              134 |      120 | Vinted
              135 |      121 | Salomon
              136 |      122 | Charities
              137 |      123 | Balenciaga
              138 |      124 | Oricle
              139 |      125 | H&M
              140 |      126 | Balenciaga
              141 |      127 | Salomon
              142 |      128 | Amazon
              143 |      129 | HSBC
              144 |      130 | HSBC
              145 |      131 | Patagonia
              146 |      132 | Versace
              147 |      133 | Vinted
              148 |      134 | H&M
              149 |      135 | Balenciaga
              150 |      136 | Instagram
              151 |      137 | Charities
              152 |      138 | Adidas
              153 |      139 | H&M
              154 |      140 | Givenchy
              155 |      141 | HSBC
              156 |      142 | H&M
              157 |      143 | Versace
              158 |      144 | Chanel
              159 |      145 | Harrods
              160 |      146 | Marks and Spencer
              161 |      147 | Wayfair
              162 |      148 | Versace
              163 |      149 | HSBC
              164 |      150 | Versace
              165 |      151 | Ikea
              166 |      152 | Reebok
              167 |      153 | Harrods
              168 |      154 | Harrods
              169 |      155 | Chanel
              170 |      156 | Ebay
              171 |      157 | Prada
              172 |      158 | Marks and Spencer
              173 |      159 | Wayfair
              174 |      160 | Louis Vuitton
              175 |      161 | Reebok
              176 |      162 | Harrods
              177 |      163 | Valentino
              178 |      164 | Prada
              179 |      165 | Oricle
              180 |      166 | Poundland
              181 |      167 | Versace
              182 |      168 | Fendi
              183 |      169 | Givenchy
              184 |      170 | Salomon
              185 |      171 | Aldi
              186 |      172 | Vinted
              187 |      173 | Buff
              188 |      174 | Stella McCartney
              189 |      175 | Wayfair
              190 |      176 | Louboutin
              191 |      177 | Adidas
              192 |      178 | Buff
              193 |      179 | Salomon
              194 |      180 | Oricle
              195 |      181 | Louboutin
              196 |      182 | Amazon
              197 |      183 | Fendi
              198 |      184 | Aldi
              199 |      185 | Nike
              200 |      186 | Reebok
              201 |      187 | Stella McCartney
              202 |      188 | Buff
              203 |      189 | Marks and Spencer
              204 |      190 | Nike
              205 |      191 | Reebok
              206 |      192 | Adidas
              207 |      193 | Marks and Spencer
              208 |      194 | Stella McCartney
              209 |      195 | Vinted
              210 |      196 | Prada
              211 |      197 | Fendi
              212 |      198 | Nike
              213 |      199 | Oricle
              214 |      200 | Chanel
              215 |      201 | Ebay
              216 |      202 | Ebay
              217 |      203 | Salomon
              218 |      204 | Ebay
              219 |      205 | Wayfair
              220 |      206 | Fendi
              221 |      207 | Ikea
              222 |      208 | Valentino
              223 |      209 | Dior
              224 |      210 | Marks and Spencer
              225 |      211 | Patagonia
              226 |      212 | Stella McCartney
              227 |      213 | Wayfair
              228 |      214 | Poundland
(228 rows)

