DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |             brand              |                trait                 | rating |  next_event_date  | revenue 
      186 | Melissa Albers       | Milan       |          799.12 | Glamour     | Paul      | Reebok                         | Uncontrollable Tickling              |      0 | 08 October 2022   | 6013.96
      187 | Anatol Culligan      | London      |          606.07 | Promotional | Verity    | Stella McCartney               | Superhuman Lip Syncing               |      4 | 27 October 2025   | 7542.99
      188 | Merlina Beamson      | Athens      |          434.15 | Swimsuit    | Paul      | Buff                           | Extreme Paper Cut                    |      5 | 23 May 2023       | 3035.88
      189 | Ernestus Dyer        | London      |           43.58 | Parts       | Paul      | Marks and Spencer              | Invisible Sneeze                     |     10 | 18 June 2024      | 8226.02
      190 | Raquela Kalkhoven    | London      |          985.08 | Fitness     | Rose      | Nike                           | parallel parking                     |      0 | 25 August 2023    | 7535.87
      191 | Bili Wilkins         | Los Angeles |          335.24 | Promotional | Verity    | Reebok                         | finding loose change                 |      2 | 03 May 2025       | 8759.93
      192 | Wye Ferebee          | Crewe       |            41.8 | Swimsuit    | Paul      | Adidas                         | movie quotes                         |      6 | 28 May 2023       | 9076.46
      193 | Jackie Preon         | Athens      |          254.08 | Swimsuit    | Rose      | Marks and Spencer              | lucky charm                          |      6 | 10 September 2024 | 1848.03
      194 | Patrice Ferrier      | Athens      |           495.4 | Swimsuit    | Alex      | Stella McCartney               | Super Ticklish Fingers               |      4 | 07 October 2023   | 5251.42
      195 | Fanchon Strass       | Milan       |          247.64 | Promotional | Kev       | Vinted                         | Incredible Nose Hair Growth          |      2 | 14 March 2023     |  6474.5
      196 | Adriano Carrick      | Milan       |          935.35 | Promotional | Christian | Prada                          | touch nose with tongue               |      6 | 30 March 2023     | 3144.76
      197 | Corette Forgan       | Crewe       |           288.4 | Fitness     | Katherine | Fendi                          | Invisible Air Guitar Playing         |      3 | 08 November 2025  | 4296.85
      198 | Lyndsay Schirak      | Crewe       |          600.23 | Glamour     | Christian | Nike                           | wiggle ears                          |      6 | 10 December 2025  | 8796.78
      199 | Johnny Tambling      | London      |          317.52 | Fashion     | Katherine | Oricle                         | lucky charm                          |     10 | 19 February 2025  | 1623.87
      200 | Constantin Hagard    | Stockholm   |          374.58 | Glamour     | Christian | Chanel                         | Telepathic Yawn                      |      7 | 05 February 2024  | 4923.63
      201 | Shannon Dougharty    | London      |           65.94 | Commercial  | Alex      | Ebay                           | handstands                           |      2 | 20 June 2023      | 1487.82
      202 | Orly Gasking         | Stockholm   |          597.45 | Promotional | Kev       | Ebay                           | fall asleep anywhere                 |      1 | 18 March 2024     |  5413.6
      203 | Stanleigh Garwood    | Stockholm   |           30.79 | Fashion     | Katherine | Salomon                        | Super Slow Motion                    |      6 | 05 May 2023       |  3115.1
      204 | Flossy Thurling      | Los Angeles |           803.8 | Fitness     | Paul      | Ebay                           | Infinite Dad Jokes                   |      7 | 31 October 2024   | 8659.08
      205 | Patrice Philippson   | Crewe       |          590.69 | Promotional | Rose      | Wayfair                        | touch nose with tongue               |      9 | 09 September 2024 | 7178.51
      206 | Kiley Hafner         | Milan       |          914.95 | Promotional | Christian | Fendi                          | freckles on nose                     |      7 | 30 August 2025    |  5511.4
      207 | Fabe Naden           | Online      |          349.34 | Promotional | Paul      | Ikea                           | Instantaneous Costume Changes        |      0 | 08 March 2022     | 4842.59
      208 | Jarrod Lorriman      | Athens      |          826.13 | Parts       | Christian | Valentino                      | Super Speed Typing                   |      1 | 26 October 2024   | 8119.76
      209 | Reena Dunkersley     | Los Angeles |          368.22 | Fashion     | Alex      | Dior                           | lucky charm                          |      3 | 05 March 2022     | 8589.33
      210 | Julianna Togwell     | Crewe       |          704.17 | Fashion     | Christian | Marks and Spencer              | Super Slow Motion                    |      2 | 01 February 2024  | 8887.56
      211 | Joanna Cogdon        | Crewe       |          568.89 | Glamour     | Paul      | Patagonia                      | Uncontrollable Tickling              |      9 | 10 November 2025  | 1006.37
      212 | Jemmie Cannop        | Stockholm   |           13.34 | Promotional | Verity    | Stella McCartney               | knowing when it's going to rain      |      2 | 24 November 2025  | 8575.22
      213 | Deane Blinkhorn      | Crewe       |          647.59 | Fashion     | Katherine | Wayfair                        | Telepathic Yawn                      |      6 | 05 September 2025 | 3657.26
      214 | Lowrance Brattell    | Athens      |          588.22 | Glamour     | Verity    | Poundland                      | Instantaneous Costume Changes        |     10 | 24 February 2025  | 1849.79
(214 rows)

